policyNumber,status,firstName,lastName,phone,dateOfBirth,policyValue,agentNumber,agentStatus,carrier
0104230050,Inactive,VIVIANE,BARBOSA,813-789-3172,1974-02-09,50700,9999999,Active,AMERICAN AMICABLE
999999999,Active,UNKNOWN,USER,555-000-0000,1990-01-01,10000,9999999,Active,AMERICAN AMICABLE
888888888,Pending,UNKNOWN,USER,555-000-0000,1990-01-01,10000,8888888,Active,AMERICAN AMICABLE
777777777,Inactive,UNKNOWN,USER,555-000-0000,1990-01-01,10000,7777777,Active,AMERICAN AMICABLE
666666666,Active,NEW,CLIENT,555-111-1111,1985-05-15,50000,1111111,Active,AMERICAN AMICABLE
555555555,Pending,NEW,CLIENT,555-222-2222,1990-08-20,75000,2222222,Active,AMERICAN AMICABLE
444444444,Inactive,NEW,CLIENT,555-333-3333,1975-12-10,30000,3333333,Active,AMERICAN AMICABLE
333333333,Active,ANOTHER,CLIENT,555-444-4444,1988-03-25,60000,4444444,Active,AMERICAN AMICABLE
222222222,Pending,ANOTHER,CLIENT,555-555-5555,1992-07-18,45000,5555555,Active,AMERICAN AMICABLE
111111111,Inactive,ANOTHER,CLIENT,555-666-6666,1980-11-30,80000,6666666,Active,AMERICAN AMICABLE
000000000,Active,FINAL,CLIENT,555-777-7777,1995-09-12,25000,7777777,Active,AMERICAN AMICABLE
